City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
374,Formosa,AR,73.38,-26.1775,-58.1781,clear sky,Hotel Portal del Sol
375,Djibo,BF,76.91,14.1022,-1.6306,broken clouds,Centre Des Ressources DPENA
376,Lazaro Cardenas,MX,78.12,17.9583,-102.2,clear sky,quinta antigua
380,Impfondo,CG,70.66,1.6381,18.0667,light rain,Auberge La Place de Jules
381,San Martin,AR,77.54,-33.081,-68.4681,few clouds,Club El Pelícano
387,Weligama,LK,78.89,5.9667,80.4167,clear sky,Weligama Bay Resort
388,Canavieiras,BR,75.11,-15.675,-38.9472,moderate rain,Bahiadomizil
390,Bubaque,GW,81.46,11.2833,-15.8333,overcast clouds,"Casa Dora, Bubaque"
392,Honiara,SB,84.87,-9.4333,159.95,broken clouds,Heritage Park Hotel
394,Bandarbeyla,SO,75.52,9.4942,50.8122,clear sky,JABIR HOTEL
396,Axim,GH,78.69,4.8699,-2.2405,broken clouds,Axim Beach Resort And Spa
398,Muisne,EC,74.77,0.6,-80.0333,overcast clouds,Quinta Samay
399,Ahipara,NZ,71.01,-35.1667,173.1667,overcast clouds,Ahipara Holiday Park
400,Contamana,PE,76.26,-7.3333,-75.0167,overcast clouds,Shiringal Touristic Park
402,Meulaboh,ID,78.15,4.1363,96.1285,overcast clouds,Kost Pria
407,Kapoeta,SS,81.07,4.7717,33.5903,scattered clouds,Eastgate Hotel
410,Kavaratti,IN,81.37,10.5669,72.642,scattered clouds,Hotels in Lakshadweep Islands
412,Cachoeiras De Macacu,BR,75.31,-22.4625,-42.6531,overcast clouds,HOTEL PALACE SERRA VERDE IMPERIAL
420,Saint-Leu,RE,76.03,-21.15,55.2833,clear sky,La Caz Oceane
422,Waingapu,ID,86.14,-9.6567,120.2641,overcast clouds,Pondok Wisata Elim
423,Caravelas,BR,74.79,-17.7125,-39.2481,scattered clouds,Pousada dos Navegantes
424,Biak,ID,84.33,-0.9131,122.8766,overcast clouds,Penginapan Kim
426,Cabatuan,PH,81.55,10.8794,122.486,broken clouds,MVC Transient Room
430,Champerico,GT,83.35,14.3,-91.9167,overcast clouds,"Hotel y restaurante ""El Diamante"""
431,Yarada,IN,75.52,17.65,83.2667,mist,Vishranti
433,Kaeo,NZ,74.32,-35.1,173.7833,overcast clouds,Bushido Lodge
436,Kailua,US,84.07,21.4022,-157.7394,broken clouds,Sheffield House Bed & Breakfast
438,Leticia,CO,73.63,-4.2153,-69.9406,overcast clouds,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
440,Sola,VU,79.88,-13.8833,167.55,overcast clouds,Leumerus Bungalows
441,Ondjiva,AO,72.41,-17.0667,15.7333,overcast clouds,COMBUESA
443,Vieques,PR,80.64,18.425,-65.8329,few clouds,"The St. Regis Bahia Beach Resort, Puerto Rico"
453,Miri,MY,82.54,4.4148,114.0089,few clouds,"Mega Hotel, Miri"
456,Severiano Melo,BR,79.05,-5.7772,-37.9578,scattered clouds,Chácara Bela Vista
460,Quelimane,MZ,76.77,-17.8786,36.8883,clear sky,Hotel Flamingo
462,Kirakira,SB,83.48,-10.4544,161.9205,broken clouds,SanBiz Lodge
464,Bonthe,SL,79.54,7.5264,-12.505,light rain,Bonthe Holiday Village
467,Nelson Bay,AU,89.78,-32.7167,152.15,clear sky,Mantra Nelson Bay
474,San Jose De Guanipa,VE,75.7,8.8872,-64.1651,overcast clouds,HOTEL 283 SUITES
478,Alofi,NU,80.49,-19.0595,-169.9187,light rain,Taloa Heights
479,Makurdi,NG,76.24,7.7411,8.5121,broken clouds,Doo Palace Hotel
483,Salalah,OM,73.15,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
484,Haapiti,PF,85.73,-17.5667,-149.8667,broken clouds,Linareva Moorea Beach Resort
486,Buchanan,LR,78.94,5.8808,-10.0467,light rain,Kamaneahn Hotel Inc
488,Lorengau,PG,85.3,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
489,Lastoursville,GA,72.93,-0.8143,12.7287,moderate rain,Auberge Bon Coin 02
496,Bougouni,ML,75.97,11.417,-7.479,overcast clouds,Non Stop
498,Buin,CL,70.74,-33.7333,-70.75,clear sky,Paihuen
502,Ponto Novo,BR,76.24,-10.8628,-40.1336,overcast clouds,Pousada Mucambo
512,Road Town,VG,80.64,18.4167,-64.6167,few clouds,"ZINGARA 76ft Catamaran, full crew-all included"
515,Altamira,BR,76.95,-3.2033,-52.2064,overcast clouds,Requinte Hotel
517,Quatre Cocos,MU,77.11,-20.2078,57.7625,light rain,Sunrise Attitude Hotel
518,Tezu,IN,70.93,27.9167,96.1667,scattered clouds,Circuit House
519,Bitung,ID,88.65,1.4451,125.1824,overcast clouds,K2 Lembeh
520,Porto Novo,BJ,82.22,6.4965,2.6036,overcast clouds,Tour Eiffel Hotel Benin
522,Sri Aman,MY,80.65,1.2376,111.4621,few clouds,Seri Simanggang Hotel
527,General Jose Eduvigis Diaz,PY,75.24,-27.1667,-58.4167,clear sky,Hotel Tala Puera
529,Ponta Pora,BR,70.66,-22.5361,-55.7256,clear sky,Hotel Pousada do Bosque
533,Santa Cruz,BO,72.86,-17.8,-63.1667,few clouds,Aviador Hotel Boutique
534,Anloga,GH,80.82,5.7947,0.8973,scattered clouds,Pin Drop Hotel
538,Maragogi,BR,78.3,-9.0122,-35.2225,overcast clouds,Salinas do Maragogi All Inclusive Resort
543,Kapit,MY,86.14,2.0167,112.9333,overcast clouds,Hotel Meligai Kapit
545,Ixtapa,MX,78.22,20.7,-105.2,overcast clouds,Hotel Plaza Providencia
547,Ourossogui,SN,79.2,15.6064,-13.3211,broken clouds,Hotel welma
554,Ilhabela,BR,70.74,-23.7781,-45.3581,overcast clouds,Ilha Flat Hotel
556,Ternate,ID,84.94,0.8,127.4,moderate rain,Sahid Bela Ternate Hotel
558,Pemangkat,ID,81.55,1.1667,108.9667,broken clouds,Ramah Kost KITA
565,Matara,LK,78.82,5.9485,80.5353,clear sky,Amaloh Boutique Resort
