City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Ayan,RU,2021-12-03 01:38:02,56.45,138.1667,1.26,71,50,25.03,scattered clouds
60,Namibe,AO,2021-12-03 01:38:03,-15.1961,12.1522,71.17,80,0,4.7,clear sky
61,Ketchikan,US,2021-12-03 01:37:32,55.3422,-131.6461,32.47,93,75,4.61,light snow
62,Athabasca,CA,2021-12-03 01:38:04,54.7169,-113.2854,30.02,52,5,17.36,clear sky
63,Zhangzhou,CN,2021-12-03 01:37:58,24.5133,117.6556,64.15,31,5,1.05,clear sky
64,Beringovskiy,RU,2021-12-03 01:38:05,63.05,179.3167,33.46,97,100,25.64,snow
65,Airai,TL,2021-12-03 01:38:05,-8.9266,125.4092,77.72,44,98,1.34,overcast clouds
66,Winslow,US,2021-12-03 01:34:16,35.0242,-110.6974,49.96,35,1,4.61,clear sky
67,Ak-Dovurak,RU,2021-12-03 01:38:06,51.1833,90.6,-4.0,92,32,1.63,scattered clouds
68,Port Alfred,ZA,2021-12-03 01:38:07,-33.5906,26.891,62.2,73,65,20.87,broken clouds
69,Butaritari,KI,2021-12-03 01:38:07,3.0707,172.7902,81.93,73,13,11.65,few clouds
70,Khatanga,RU,2021-12-03 01:38:08,71.9667,102.5,-33.61,99,80,7.05,broken clouds
71,Sorland,NO,2021-12-03 01:38:09,67.667,12.6934,34.88,50,38,21.05,scattered clouds
72,Kieta,PG,2021-12-03 01:38:09,-6.2167,155.6333,85.69,72,100,5.61,light rain
73,Shelburne,CA,2021-12-03 01:38:09,44.0787,-80.2041,34.56,86,87,18.28,overcast clouds
74,Broken Hill,AU,2021-12-03 01:38:10,-31.95,141.4333,71.31,43,5,14.97,clear sky
75,Colesberg,ZA,2021-12-03 01:38:11,-30.72,25.0972,52.23,77,6,8.1,clear sky
76,Rairangpur,IN,2021-12-03 01:38:11,22.2676,86.1751,57.65,66,51,2.68,broken clouds
77,Chunoyar,RU,2021-12-03 01:38:12,57.4467,97.3217,22.57,83,100,5.19,overcast clouds
78,Bantou,CN,2021-12-03 01:38:12,26.2151,117.4893,54.28,41,2,2.59,clear sky
79,Atuona,PF,2021-12-03 01:36:47,-9.8,-139.0333,78.87,74,94,20.92,overcast clouds
80,Lagoa,PT,2021-12-03 01:38:13,39.05,-27.9833,63.7,83,7,11.63,clear sky
81,Aklavik,CA,2021-12-03 01:38:13,68.2191,-135.0107,-22.97,93,100,5.48,overcast clouds
82,Mahebourg,MU,2021-12-03 01:38:14,-20.4081,57.7,77.29,88,75,6.91,light rain
83,Victoria,HK,2021-12-03 01:35:03,22.2855,114.1577,65.25,34,4,4.0,clear sky
84,Vaini,TO,2021-12-03 01:38:15,-21.2,-175.2,82.56,83,40,12.66,scattered clouds
85,Mettur,IN,2021-12-03 01:38:15,11.8,77.8,74.46,89,94,1.7,overcast clouds
86,Nouadhibou,MR,2021-12-03 01:38:16,20.931,-17.0347,60.78,72,45,20.71,scattered clouds
87,Makakilo City,US,2021-12-03 01:38:16,21.3469,-158.0858,82.15,65,1,9.22,clear sky
88,Guaraniacu,BR,2021-12-03 01:38:17,-25.1008,-52.8781,62.71,68,0,2.53,clear sky
89,Mangaluru,IN,2021-12-03 01:37:53,12.8667,74.8833,76.06,94,20,0.0,mist
90,Jamestown,US,2021-12-03 01:38:17,42.097,-79.2353,42.39,73,75,7.0,broken clouds
91,Dothan,US,2021-12-03 01:39:18,31.2232,-85.3905,59.2,86,1,0.0,clear sky
92,Hailar,CN,2021-12-03 01:39:18,49.2,119.7,6.08,82,5,4.61,clear sky
93,Suriapet,IN,2021-12-03 01:39:19,17.15,79.6167,69.13,75,92,3.06,overcast clouds
94,Bani,DO,2021-12-03 01:39:19,18.2833,-70.3333,77.86,80,21,6.22,few clouds
95,Valle Nacional,MX,2021-12-03 01:39:20,17.7833,-96.3167,70.66,98,87,1.79,overcast clouds
96,Corrales,US,2021-12-03 01:39:20,35.2378,-106.6067,58.24,29,1,1.99,clear sky
97,Posse,BR,2021-12-03 01:39:21,-14.0931,-46.3694,69.8,91,100,2.86,heavy intensity rain
98,Sabang,ID,2021-12-03 01:39:21,5.8933,95.3214,80.71,76,100,5.97,overcast clouds
99,Albany,US,2021-12-03 01:34:32,42.6001,-73.9662,43.81,85,95,4.0,overcast clouds
100,Berlevag,NO,2021-12-03 01:39:22,70.8578,29.0864,26.42,68,100,10.89,overcast clouds
101,Margherita,IN,2021-12-03 01:39:23,27.2833,95.6833,56.68,65,50,1.7,scattered clouds
102,Qaanaaq,GL,2021-12-03 01:39:23,77.484,-69.3632,13.84,75,100,5.88,overcast clouds
103,Constitucion,CL,2021-12-03 01:39:24,-35.3333,-72.4167,55.99,78,100,13.76,overcast clouds
104,Nikolskoye,RU,2021-12-03 01:39:24,59.7035,30.7861,8.02,92,100,4.83,overcast clouds
105,Port-Gentil,GA,2021-12-03 01:39:25,-0.7193,8.7815,80.47,77,100,6.49,light rain
106,Clyde River,CA,2021-12-03 01:35:44,70.4692,-68.5914,-9.17,84,79,2.3,broken clouds
107,Mount Isa,AU,2021-12-03 01:39:26,-20.7333,139.5,98.37,18,87,12.66,overcast clouds
108,Kitahiroshima,JP,2021-12-03 01:39:26,42.9758,141.5672,44.62,81,72,10.0,broken clouds
109,Dikson,RU,2021-12-03 01:39:27,73.5069,80.5464,-19.03,94,54,11.1,broken clouds
110,Halifax,CA,2021-12-03 01:39:27,44.6453,-63.5724,52.21,96,100,1.99,overcast clouds
111,Fairbanks,US,2021-12-03 01:35:13,64.8378,-147.7164,-11.9,79,75,0.0,broken clouds
112,Ustynivka,UA,2021-12-03 01:39:28,47.9551,32.5367,43.18,94,100,8.99,overcast clouds
113,Thompson,CA,2021-12-03 01:39:29,55.7435,-97.8558,-20.04,76,20,0.0,few clouds
114,Tasiilaq,GL,2021-12-03 01:39:29,65.6145,-37.6368,13.03,55,96,7.78,overcast clouds
115,Flinders,AU,2021-12-03 01:39:29,-34.5833,150.8552,78.19,73,23,18.81,few clouds
116,Nome,US,2021-12-03 01:39:30,64.5011,-165.4064,-3.93,77,75,11.5,broken clouds
117,Tabou,CI,2021-12-03 01:39:31,4.423,-7.3528,79.14,83,65,4.85,broken clouds
118,Longyearbyen,SJ,2021-12-03 01:39:31,78.2186,15.6401,28.24,59,40,8.05,light snow
119,Hamilton,US,2021-12-03 01:39:31,39.1834,-84.5333,54.77,66,20,1.99,few clouds
120,Esperance,AU,2021-12-03 01:39:32,-33.8667,121.9,67.84,64,100,14.29,overcast clouds
121,Mahajanga,MG,2021-12-03 01:39:32,-15.7167,46.3167,73.42,68,20,4.61,few clouds
122,Chuy,UY,2021-12-03 01:39:33,-33.6971,-53.4616,58.75,80,0,7.43,clear sky
123,Severnyy,RU,2021-12-03 01:39:34,50.677,36.5532,39.24,93,75,11.18,broken clouds
124,Nanortalik,GL,2021-12-03 01:39:34,60.1432,-45.2371,21.22,81,42,19.1,scattered clouds
125,Abha,SA,2021-12-03 01:39:35,18.2164,42.5053,44.42,42,0,0.0,clear sky
126,Solnechnyy,RU,2021-12-03 01:39:35,50.7214,136.6319,6.4,79,24,3.18,few clouds
127,Camacha,PT,2021-12-03 01:39:35,33.0833,-16.3333,62.02,68,40,11.5,scattered clouds
128,Steenokkerzeel,BE,2021-12-03 01:39:36,50.9188,4.5114,36.34,94,40,5.99,scattered clouds
129,Pulivendla,IN,2021-12-03 01:39:37,14.4167,78.2333,71.47,81,43,2.48,scattered clouds
130,Lebu,CL,2021-12-03 01:39:37,-37.6167,-73.65,53.4,78,100,18.37,overcast clouds
131,Muroto,JP,2021-12-03 01:39:38,33.2833,134.15,48.24,54,0,8.19,clear sky
132,Nemuro,JP,2021-12-03 01:39:38,43.3236,145.575,46.83,77,32,32.37,scattered clouds
133,Bambous Virieux,MU,2021-12-03 01:40:39,-20.3428,57.7575,77.25,88,75,6.91,light rain
134,Huarmey,PE,2021-12-03 01:40:39,-10.0681,-78.1522,67.03,84,100,7.9,overcast clouds
135,Kangaatsiaq,GL,2021-12-03 01:40:40,68.3065,-53.4641,26.74,68,100,25.14,overcast clouds
136,Itoman,JP,2021-12-03 01:40:40,26.1247,127.6694,68.4,59,40,16.11,scattered clouds
